Institution,Course,Label,URL,Mode,Salary,avgTariff,lowerTariff,Employment
Aberystwyth University,Astrophysics (includes year zero),BSc,http://www.aber.ac.uk/courses/?4QGUKU,FullTime,23000,102.875,1,80
Aberystwyth University,Astudiaethau Celtaidd,BA,http://www.aber.ac.uk/courses/?RM88UJ,FullTime,18000,151.5,80,95
Aberystwyth University,Astudiaethau Ffilm a Theledu,BA,http://www.aber.ac.uk/courses/?LBBWQ2,FullTime,16000,118.0,1,85
Aberystwyth University,Biochemistry,MBiol,http://www.aber.ac.uk/courses/?WFRNFF,FullTime,16000,115.75,64,90
Aberystwyth University,Biochemistry,BSc,http://www.aber.ac.uk/courses/?AHNAQF,FullTime,16000,117.0,64,90
Aberystwyth University,Biochemistry (with year in industry),BSc,http://www.aber.ac.uk/courses/?CSHTS6,FullTime,16000,115.75,64,90
Aberystwyth University,Biology,MBiol,http://www.aber.ac.uk/courses/?Y2B3UY,FullTime,16000,108.0,64,89
Aberystwyth University,Biology,BSc,http://www.aber.ac.uk/courses/?FF3VHG,FullTime,16000,80,48,90
Aberystwyth University,Biology (with year in industry),BSc,http://www.aber.ac.uk/courses/?WGBTMP,FullTime,16000,108.0,64,89
Aberystwyth University,Business & Management,BSc,http://www.aber.ac.uk/courses/?E9CDKY,FullTime,19000,107.25,48,90
Aberystwyth University,Business Economics,BSc,http://www.aber.ac.uk/courses/?DYTE48,FullTime,16000,85.0,1,90
Aberystwyth University,Business Finance,BSc,http://www.aber.ac.uk/courses/?9X6FVF,FullTime,18000,108.0,48,100
Aberystwyth University,Business Information Technology,BSc,http://www.aber.ac.uk/courses/?KRVNF6,FullTime,23000,98.3076923076923,1,90
Aberystwyth University,Business Information Technology (includes year zero),BSc,http://www.aber.ac.uk/courses/?VVEGHS,FullTime,23000,98.3076923076923,1,98
Aberystwyth University,Business Information Technology (with integrated year in industry),BSc,http://www.aber.ac.uk/courses/?A2LZGD,FullTime,23000,98.3076923076923,1,100
Aberystwyth University,Business Law,LLB,http://www.aber.ac.uk/courses/?RGGD97,FullTime,16000,119.5,64,95
Aberystwyth University,Celtic Studies,BA,http://www.aber.ac.uk/courses/?XAHEH3,FullTime,18000,151.5,80,95
